type,rep,m,infections,norm,scale,color
herm02,7,0.9144,1,1,field,blue
herm02,7,1.524,0.453830258,0.453830258,field,blue
herm02,7,2.1336,0.246121111,0.246121111,field,blue
herm02,7,3.048,0.168353684,0.168353684,field,blue
herm02,7,4.572,0.035826186,0.035826186,field,blue
herm02,7,6.096,0.028722395,0.028722395,field,blue
herm02,7,9.144,0.015921848,0.015921848,field,blue
herm02,7,12.192,0.011427404,0.011427404,field,blue
herm02,7,18.288,0.003325598,0.003325598,field,blue
herm02,7,24.384,0.001914826,0.001914826,field,blue
herm02,7,30.48,0.000442667,0.000442667,field,blue
herm02,7,36.576,0.000773737,0.000773737,field,blue
herm02,7,42.672,0.000385424,0.000385424,field,blue
herm02,7,48.768,0.000185985,0.000185985,field,blue
herm02,7,54.864,0.000318421,0.000318421,field,blue
herm02,7,60.96,0.000162284,0.000162284,field,blue
herm02,7,67.056,0.000647419,0.000647419,field,blue
herm02,7,73.152,0,0,field,blue
herm02,7,79.248,0.0000979,0.0000979,field,blue
herm02,7,85.344,0,0,field,blue
herm02,7,91.44,0,0,field,blue
herm02,7,97.536,0,0,field,blue
herm02,7,103.632,0,0,field,blue
herm02,8,0.9144,1,1,field,blue
herm02,8,1.524,0.400058163,0.400058163,field,blue
herm02,8,2.1336,0.210988467,0.210988467,field,blue
herm02,8,3.048,0.026490783,0.026490783,field,blue
herm02,8,4.572,0.021701516,0.021701516,field,blue
herm02,8,6.096,0.014010311,0.014010311,field,blue
herm02,8,9.144,0.004293589,0.004293589,field,blue
herm02,8,12.192,0.002184338,0.002184338,field,blue
herm02,8,18.288,0.001716681,0.001716681,field,blue
herm02,8,24.384,0.000358208,0.000358208,field,blue
herm02,8,30.48,0.000340551,0.000340551,field,blue
herm02,8,36.576,0.000383518,0.000383518,field,blue
herm02,8,42.672,0.000510589,0.000510589,field,blue
herm02,8,48.768,0.000248327,0.000248327,field,blue
herm02,8,54.864,0.000134386,0.000134386,field,blue
herm02,8,60.96,0.000221083,0.000221083,field,blue
herm02,8,67.056,0.0000937,0.0000937,field,blue
herm02,8,73.152,0.000112414,0.000112414,field,blue
herm02,8,79.248,0.00010847,0.00010847,field,blue
herm02,8,85.344,0.0000711,0.0000711,field,blue
herm02,8,91.44,0,0,field,blue
herm02,8,97.536,0,0,field,blue
herm02,8,103.632,0.000126856,0.000126856,field,blue
mad12,9,0,159.5,159.5,local,black
mad12,9,0.0254,67.29411765,67.29411765,local,black
mad12,9,0.0508,99,99,local,black
mad12,9,0.0762,48.25806452,48.25806452,local,black
mad12,9,0.1016,19.44186047,19.44186047,local,black
mad12,9,0.127,56,56,local,black
mad12,9,0.1524,34.1,34.1,local,black
mad12,9,0.1778,44,44,local,black
mad12,9,0.2032,7.822222222,7.822222222,local,black
mad12,9,0.2286,19.44186047,19.44186047,local,black
mad12,9,0.254,26.19047619,26.19047619,local,black
mad12,9,0.2794,26.60465116,26.60465116,local,black
mad12,9,0.3048,22.95652174,22.95652174,local,black
mad12,9,0.3302,10.7027027,10.7027027,local,black
mad12,9,0.3556,6,6,local,black
mad12,9,0.381,1.073170732,1.073170732,local,black
mad12,9,0.4064,20,20,local,black
mad12,9,0.4318,3.3,3.3,local,black
mad12,9,0.4572,5.238095238,5.238095238,local,black
mad12,9,0.4826,4.551724138,4.551724138,local,black
mad12,9,0.508,3.384615385,3.384615385,local,black
mad12,9,0.5334,1.157894737,1.157894737,local,black
mad12,9,0.5588,2.793650794,2.793650794,local,black
mad12,9,0.5842,1.333333333,1.333333333,local,black
mad12,9,0.6096,1.157894737,1.157894737,local,black
mad12,9,0.635,0,0,local,black
mad12,9,0.6604,3.744680851,3.744680851,local,black
mad12,9,0.6858,1.375,1.375,local,black
mad12,9,0.7112,0.956521739,0.956521739,local,black
mad12,9,0.7366,4.551724138,4.551724138,local,black
mad12,9,0.762,2.514285714,2.514285714,local,black
mad12,9,0.7874,0,0,local,black
mad12,9,0.8128,2.869565217,2.869565217,local,black
mad12,9,0.8382,1.517241379,1.517241379,local,black
mad12,9,0.8636,0.637681159,0.637681159,local,black
mad12,9,0.889,0,0,local,black
mad12,9,0.9144,1,1,local,black
mad12,9,0.9398,3.384615385,3.384615385,local,black
mad12,9,0.9652,0,0,local,black
mad12,9,0.9906,0,0,local,black
mad12,9,1.016,1.257142857,1.257142857,local,black
mad12,9,1.0414,0,0,local,black
mad12,9,1.0668,1.222222222,1.222222222,local,black
mad12,9,1.0922,0,0,local,black
mad12,9,1.1176,0,0,local,black
mad12,9,1.143,0,0,local,black
mad12,9,1.1684,0,0,local,black
mad12,9,1.1938,0,0,local,black
mad12,9,1.2192,0,0,local,black
mad12,9,1.2446,18.66666667,18.66666667,local,black
mad12,9,1.27,0,0,local,black
mad12,9,1.2954,6.666666667,6.666666667,local,black
mad12,9,1.3208,1.76,1.76,local,black
mad12,9,1.3462,6.139534884,6.139534884,local,black
mad12,9,1.3716,4.888888889,4.888888889,local,black
mad12,9,1.397,0,0,local,black
mad12,9,1.4224,0,0,local,black
mad12,9,1.4478,4.888888889,4.888888889,local,black
mad12,9,1.4732,0,0,local,black
mad12,9,1.4986,1.955555556,1.955555556,local,black
mad12,9,1.524,0,0,local,black
mad13,10,0,169.4166667,169.4166667,local,black
mad13,10,0.0254,54.07692308,54.07692308,local,black
mad13,10,0.0508,72.38095238,72.38095238,local,black
mad13,10,0.0762,100.8461538,100.8461538,local,black
mad13,10,0.1016,41.93103448,41.93103448,local,black
mad13,10,0.127,141.1428571,141.1428571,local,black
mad13,10,0.1524,45.86206897,45.86206897,local,black
